445,407
414,395
412,398
429,413
430,443
417,460
429,467
437,469
435,502
438,509
454,571
455,580
456,592
457,602
458,615
458,635
455,647
455,669
461,676
464,673
474,667
499,699
499,700
499,700
499,700
499,700
499,700
499,700
654,709
655,707
632,696
629,693
633,685
622,676
611,665
605,667
573,657
564,621
574,614
620,591
604,520
577,480
534,462
535,465
580,471
495,444
507,437
522,431
513,416
486,401
489,397
493,436
486,436
498,450
503,457
514,481
527,491
533,484
579,503
589,505
583,505
586,417
585,426
579,391
573,383
573,405
582,387
610,359
600,350
611,316
609,331
595,242
570,256
542,285
548,277
542,247
545,253
514,307
514,311
505,324
500,326
503,346
515,342
550,328
550,321
552,324
560,325
567,336
600,284
592,285
612,199
612,159
609,159
603,157
570,154
539,159
530,164
523,162
505,166
493,171
485,173
474,214
489,213
501,213
525,208
530,209
540,207
574,201
585,196
598,194
601,194
600,121
603,105
574,112
544,111
535,114
527,125
506,124
483,114
486,122
489,119
430,110
417,86
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
388,97
315,256
320,265
327,266
343,272
377,222
385,201
383,216
397,207
387,200
389,203
418,168
421,167
428,159
682,172
704,171
725,170
737,178
744,182
756,184
786,189
820,198
823,207
824,206
839,130
846,131
863,138
868,147
868,147
900,244
938,311
914,324
791,283
800,296
785,283
775,278
787,240
783,226
783,227
775,234
777,229
797,217
807,191
798,160
802,155
807,149
806,139
751,144
739,144
732,141
718,135
697,166
680,215
711,213
719,211
729,211
743,215
751,220
772,216
824,215
828,220
831,232
764,356
760,354
763,365
750,343
733,328
725,311
694,305
695,308
691,281
693,265
692,268
689,262
702,266
734,282
744,293
749,297
756,309
765,315
780,365
785,451
784,454
782,469
782,475
763,484
758,496
750,501
716,520
706,531
704,517
696,492
725,480
725,477
742,459
752,448
757,444
765,431
771,405
779,400
747,381
693,352
691,354
685,368
689,371
685,399
694,439
691,448
684,452
685,459
707,472
800,596
800,594
800,592
800,592
800,592
800,592
800,592
800,592
800,592
800,592
800,592
800,592
800,592
800,592
784,715
784,715
740,713
741,710
764,710
755,704
694,678
708,652
709,647
708,650
688,597
692,605
692,613
689,618
686,590
689,589
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
694,577
