0,360
7,360
15,360
22,360
30,360
37,360
45,360
52,360
60,360
67,360
75,360
82,360
90,360
97,360
105,360
112,360
120,360
128,360
135,360
143,360
150,360
158,360
165,360
173,360
180,360
188,360
195,360
203,360
210,360
218,360
225,360
233,360
240,360
248,360
256,360
263,360
271,360
278,360
286,360
293,360
301,360
308,360
316,360
323,360
331,360
338,360
346,360
353,360
361,360
368,360
376,360
384,360
391,360
399,360
406,360
414,360
421,360
429,360
436,360
444,360
451,360
459,360
466,360
474,360
481,360
489,360
496,360
504,360
512,360
519,360
527,360
534,360
542,360
549,360
557,360
564,360
572,360
579,360
587,360
594,360
602,360
609,360
617,360
624,360
632,360
640,360
647,360
655,360
662,360
670,360
677,360
685,360
692,360
700,360
707,360
715,360
722,360
730,360
737,360
745,360
752,360
760,360
768,360
775,360
783,360
790,360
798,360
805,360
813,360
820,360
828,360
835,360
843,360
850,360
858,360
865,360
873,360
880,360
888,360
896,360
903,360
911,360
918,360
926,360
933,360
941,360
948,360
956,360
963,360
971,360
978,360
986,360
993,360
1001,360
1008,360
1016,360
1024,360
1031,360
1039,360
1046,360
1054,360
1061,360
1069,360
1076,360
1084,360
1091,360
1099,360
1106,360
1114,360
1121,360
1129,360
1136,360
1144,360
1152,360
1159,360
1167,360
1174,360
1182,360
1189,360
1197,360
1204,360
1212,360
1219,360
1227,360
1234,360
1242,360
1249,360
1257,360
1264,360
1272,360
